id,lat,lon,area_ha,initial_date,final_date
25285573,65.2347686523586,118.69131454926854,428043.0,2021-06-28,2021-09-26
21986190,64.75492034522338,117.52253458312518,355273.0,2018-07-03,2018-08-29
24319087,64.44334710715674,111.25684129620208,283110.0,2020-07-19,2020-09-10
23145964,66.43097045926491,124.94702976302435,200851.0,2019-07-12,2019-09-08
25402129,64.3833500472134,127.48965104956628,178981.0,2021-07-12,2021-08-24
19559666,56.65393026286673,156.63420218723405,156549.0,2016-05-27,2016-07-22
23146072,64.30269883263512,113.57515678599786,132958.0,2019-07-03,2019-08-29
25403101,62.51418536851726,121.52902916466427,102519.0,2021-07-08,2021-08-25
24319226,64.40735880425187,109.64402631122029,85369.0,2020-07-27,2020-09-10
24325933,63.912302298114206,130.786332142552,59137.0,2020-07-04,2020-09-15
22250595,63.8369740864607,120.85461466108,37672.0,2018-09-14,2018-10-02
